Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude,price,quantity
1380,Marion Island,https://volcano.si.edu/gallery/photos/GVP-11394.jpg,Shield(s),South Africa,holocene,46.9S,37.75E,100,99
1381,Maripipi,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Philippines,pleistocene,11.8N,124.33E,100,99
1382,Mariveles,https://volcano.si.edu/gallery/photos/GVP-09103.jpg,Stratovolcano,Philippines,holocene,14.527N,120.482E,100,99
1383,Markagunt Plateau,https://volcano.si.edu/gallery/photos/GVP-05502.jpg,Volcanic field,United States,holocene,37.58N,112.67W,100,99
1384,Maroa,https://volcano.si.edu/gallery/photos/GVP-09179.jpg,Caldera(s),New Zealand,pleistocene,38.42S,176.08E,100,99
1385,Marra  Jebel,https://volcano.si.edu/gallery/photos/GVP-11929.jpg,Volcanic field,Sudan,holocene,12.95N,24.27E,100,99
1386,Marsabit,https://volcano.si.edu/gallery/photos/GVP-10434.jpg,Shield,Kenya,holocene,2.32N,37.97E,100,99
1387,Marsili,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Italy,holocene,39.284N,14.399E,100,99
1388,Martimbang,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,pleistocene,1.96N,98.968E,100,99
1389,Martin,https://volcano.si.edu/gallery/photos/GVP-05327.jpg,Stratovolcano,United States,holocene,58.172N,155.361W,100,99
1390,Martin Vaz,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Brazil,pleistocene,20.47S,28.85W,100,99
1391,Maruyama,https://volcano.si.edu/gallery/photos/GVP-09159.jpg,Stratovolcano(es),Japan,holocene,43.418N,143.031E,100,99
1392,Masahuat Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-07372.jpg,Stratovolcano,El Salvador,pleistocene,14.2N,89.4W,100,99
1393,Masaraga,https://volcano.si.edu/gallery/photos/GVP-01833.jpg,Stratovolcano,Philippines,holocene,13.32N,123.6E,100,99
1394,Masaya,https://volcano.si.edu/gallery/photos/GVP-04177.jpg,Caldera,Nicaragua,holocene,11.985N,86.165W,100,99
1395,Mascota Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-07577.jpg,Pyroclastic cone(s),Mexico,holocene,20.567N,104.817W,100,99
1396,Mashkovtsev,https://volcano.si.edu/gallery/photos/GVP-10479.jpg,Stratovolcano,Russia,pleistocene,51.1N,156.72E,100,99
1397,Mashu,https://volcano.si.edu/gallery/photos/GVP-10540.jpg,Caldera,Japan,holocene,43.572N,144.561E,100,99
1398,Mason Spurr,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Antarctica,pleistocene,78.58S,164.37E,100,99
1399,Masugata,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,pleistocene,37.075N,138.833E,100,99
1400,Masurai,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,pleistocene,2.503S,101.858E,100,99
1401,Mat Ala,https://volcano.si.edu/gallery/photos/GVP-11214.jpg,Shield,Ethiopia,holocene,13.106N,41.161E,100,99
1402,Matarem,https://volcano.si.edu/includes/images/noimage.jpg,Compound,Philippines,pleistocene,20.38N,121.93E,100,99
1403,Matthew Island,https://volcano.si.edu/gallery/photos/GVP-01703.jpg,Stratovolcano,France,holocene,22.33S,171.32E,100,99
1404,Matutum,https://volcano.si.edu/gallery/photos/GVP-11938.jpg,Stratovolcano,Philippines,holocene,6.37N,125.07E,100,99
1405,Maug Islands,https://volcano.si.edu/gallery/photos/GVP-09517.jpg,Stratovolcano,United States,holocene,20.02N,145.22E,100,99
1406,Maule  Laguna del,https://volcano.si.edu/gallery/photos/GVP-06937.jpg,Caldera,Chile,holocene,36.058S,70.492W,100,99
1407,Mauna Kea,https://volcano.si.edu/gallery/photos/GVP-03575.jpg,Shield,United States,holocene,19.82N,155.47W,100,99
1408,Mauna Loa,https://volcano.si.edu/gallery/photos/GVP-03530.jpg,Shield,United States,holocene,19.475N,155.608W,100,99
1409,Maungatautari,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,New Zealand,pleistocene,38.019S,175.576E,100,99
1410,Mauritius,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Mauritius,pleistocene,20.32S,57.65E,100,99
1411,Mayon,https://volcano.si.edu/gallery/photos/GVP-01777.jpg,Stratovolcano,Philippines,holocene,13.257N,123.685E,100,99
1412,Mayor Island,https://volcano.si.edu/gallery/photos/GVP-11767.jpg,Shield,New Zealand,holocene,37.28S,176.25E,100,99
1413,Mayotte,https://volcano.si.edu/gallery/photos/GVP-12589.jpg,Shield,France,holocene,12.83S,45.17E,100,99
1414,Mbareke,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Solomon Islands,pleistocene,8.55S,158.07E,100,99
1415,McBride Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Australia,pleistocene,18.33S,144.55E,100,99
1416,McCoy,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),United States,pleistocene,39.97N,106.7W,100,99
1417,McDonald Islands,https://volcano.si.edu/gallery/photos/GVP-08788.jpg,Complex,Australia,holocene,53.03S,72.6E,100,99
1418,Mclean Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Australia,pleistocene,15.87S,144.83E,100,99
1419,McLoughlin,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,United States,pleistocene,42.445N,122.315W,100,99
1420,Meager,https://volcano.si.edu/gallery/photos/GVP-02701.jpg,Complex,Canada,holocene,50.63N,123.5W,100,99
1421,Meanguera  Isla,https://volcano.si.edu/gallery/photos/GVP-07407.jpg,Stratovolcano(es),El Salvador,pleistocene,13.19N,87.72W,100,99
1422,Medaw Island,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent(s),Burma (Myanmar),pleistocene,11.72N,98.67E,100,99
1423,Medicine Lake,https://volcano.si.edu/gallery/photos/GVP-03231.jpg,Shield,United States,holocene,41.611N,121.554W,100,99
1424,Mega Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-12556.jpg,Volcanic field,Ethiopia,holocene,3.971N,38.213E,100,99
1425,Megata,https://volcano.si.edu/gallery/photos/GVP-10544.jpg,Maar(s),Japan,holocene,39.95N,139.73E,100,99
1426,Mehetia,https://volcano.si.edu/gallery/photos/GVP-10344.jpg,Stratovolcano,France,holocene,17.874S,148.068W,100,99
1427,Meidob Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-10435.jpg,Pyroclastic cone(s),Sudan,holocene,15.32N,26.47E,100,99
1428,Melbourne,https://volcano.si.edu/gallery/photos/GVP-09101.jpg,Stratovolcano,Antarctica,holocene,74.35S,164.7E,100,99
1429,Melimoyu,https://volcano.si.edu/gallery/photos/GVP-11896.jpg,Stratovolcano,Chile,holocene,44.08S,72.88W,100,99
1430,Melintang,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,pleistocene,0.32S,100.67E,100,99
1431,Melkum,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Vanuatu,pleistocene,18.85S,169.05E,100,99
1432,Melville,https://volcano.si.edu/gallery/photos/GVP-12674.jpg,Stratovolcano,Antarctica,holocene,62.02S,57.67W,100,99
1433,Menan Buttes,https://volcano.si.edu/includes/images/noimage.jpg,Tuff cone(s),United States,pleistocene,43.78N,111.97W,100,99
1434,Mencenares  Cerro,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Mexico,pleistocene,26.28N,111.47W,100,99
1435,Menengai,https://volcano.si.edu/gallery/photos/GVP-11157.jpg,Shield,Kenya,holocene,0.2S,36.07E,100,99
1436,Mentolat,https://volcano.si.edu/gallery/photos/GVP-06991.jpg,Stratovolcano,Chile,holocene,44.7S,73.08W,100,99
1437,Merapi,https://volcano.si.edu/gallery/photos/GVP-01722.jpg,Stratovolcano,Indonesia,holocene,7.54S,110.446E,100,99
1438,Merbabu,https://volcano.si.edu/gallery/photos/GVP-01112.jpg,Stratovolcano,Indonesia,holocene,7.454S,110.44E,100,99
1439,Merbuk,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,pleistocene,8.226S,114.653E,100,99
1440,Mercedes  Cerro las,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Costa Rica,pleistocene,10.97N,84.35W,100,99
1441,Mercury Islands,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,New Zealand,pleistocene,36.62S,175.82E,100,99
1442,Mere Lava,https://volcano.si.edu/gallery/photos/GVP-12596.jpg,Stratovolcano,Vanuatu,holocene,14.45S,168.05E,100,99
1443,Merig,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Vanuatu,pleistocene,14.32S,167.8E,100,99
1444,Meru,https://volcano.si.edu/gallery/photos/GVP-09420.jpg,Stratovolcano,Tanzania,holocene,3.244S,36.75E,100,99
1445,Methana,https://volcano.si.edu/gallery/photos/GVP-08809.jpg,Lava dome(s),Greece,holocene,37.615N,23.336E,100,99
1446,Meullin,https://volcano.si.edu/gallery/photos/GVP-12664.jpg,Volcanic field,Chile,holocene,45.22S,73.05W,100,99
1447,Mezhdusopochny,https://volcano.si.edu/gallery/photos/GVP-12632.jpg,Shield,Russia,pleistocene,57.47N,160.25E,100,99
1448,Michinmahuida,https://volcano.si.edu/gallery/photos/GVP-11053.jpg,Stratovolcano,Chile,holocene,42.799S,72.445W,100,99
1449,Michoacan-Guanajuato,https://volcano.si.edu/gallery/photos/GVP-05804.jpg,Pyroclastic cone(s),Mexico,holocene,19.85N,101.75W,100,99
1450,Midagahara,https://volcano.si.edu/gallery/photos/GVP-08948.jpg,Stratovolcano,Japan,holocene,36.571N,137.59E,100,99
1451,Mienhuayu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Taiwan,pleistocene,25.484N,122.106E,100,99
1452,Mikeno,https://volcano.si.edu/gallery/photos/GVP-01592.jpg,Stratovolcano,DR Congo,pleistocene,1.463S,29.419E,100,99
1453,Mikura Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,pleistocene,33.725N,139.408E,100,99
1454,Mikurajima,https://volcano.si.edu/gallery/photos/GVP-10545.jpg,Stratovolcano,Japan,holocene,33.874N,139.602E,100,99
1455,Milbanke Sound Group,https://volcano.si.edu/gallery/photos/GVP-12495.jpg,Pyroclastic cone(s),Canada,holocene,52.5N,128.73W,100,99
1456,Milna,https://volcano.si.edu/gallery/photos/GVP-10469.jpg,Stratovolcano,Russia,holocene,46.815N,151.786E,100,99
1457,Milos,https://volcano.si.edu/gallery/photos/GVP-08815.jpg,Stratovolcano(es),Greece,holocene,36.699N,24.439E,100,99
