Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude
526,Dakataua,https://volcano.si.edu/gallery/photos/GVP-00459.jpg,Caldera,Papua New Guinea,holocene,5.094°S,150.094°E
527,Dalaha'ale,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,pleistocene,12.274°N,42.044°E
528,Dalainuoer,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),China,pleistocene,44°N,115.5°E
529,Dallol,https://volcano.si.edu/gallery/photos/GVP-09908.jpg,Explosion crater(s),Ethiopia,holocene,14.242°N,40.3°E
530,Dama Ali,https://volcano.si.edu/gallery/photos/GVP-11170.jpg,Shield,Ethiopia,holocene,11.28°N,41.63°E
531,Damavand,https://volcano.si.edu/gallery/photos/GVP-11995.jpg,Stratovolcano,Iran,holocene,35.951°N,52.109°E
532,Dana,https://volcano.si.edu/gallery/photos/GVP-09538.jpg,Stratovolcano,United States,holocene,55.641°N,161.214°W
533,Darai Hills,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Papua New Guinea,pleistocene,6.8°S,143.08°E
534,Dariganga Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-12310.jpg,Pyroclastic cone(s),Mongolia,holocene,45.754°N,114.279°E
535,Dark Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Canada,pleistocene,58.52°N,129.6°W
536,Darlac Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Cone(s),Vietnam,pleistocene,12.88°N,108.2°E
537,Daruma,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,34.952°N,138.843°E
538,Darwin,https://volcano.si.edu/gallery/photos/GVP-04730.jpg,Shield,Ecuador,holocene,0.18°S,91.28°W
539,Data Gabalti,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,pleistocene,12.197°N,42.135°E
